reaction,biomass_type
transcription_TU0_5481_from_RpoD_mono,mRNA
transcription_TU0_13610_from_RpoD_mono,mRNA
transcription_TU0_6626_from_RpoD_mono,mRNA
transcription_TU0_6626_with_IHFA_TERMINATOR_from_RpoD_mono,mRNA
transcription_TU0_14616_from_RpoD_mono,mRNA
transcription_TU0_8772_from_RpoD_mono,mRNA
transcription_TU0_13494_from_RpoD_mono,mRNA
transcription_TU00383_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_8849_from_RpoD_mono,mRNA
transcription_TU0_13855_from_RpoD_mono,mRNA
transcription_TU0_36413_from_RpoD_mono,mRNA
transcription_TU802_from_RpoD_mono,mRNA
transcription_TU0_1143_from_RpoD_mono,mRNA
transcription_TU0_1783_from_RpoD_mono,mRNA
transcription_TU00444_with_TERM53_from_RpoD_mono,mRNA
transcription_TU0_7861_from_RPOS_MONOMER,mRNA
transcription_TU0_5501_from_RpoD_mono,mRNA
transcription_TU502_from_RpoD_mono,mRNA
transcription_TU502_from_RPOS_MONOMER,mRNA
transcription_TU0_6629_from_RpoD_mono,mRNA
transcription_TU00193_with_TERM0_1125_from_RpoD_mono,mRNA
transcription_TU00193_with_TERM0_1122_from_RpoD_mono,mRNA
transcription_TU00193_with_TERM0_1123_from_RpoD_mono,mRNA
transcription_TU00193_with_TERM0_1124_from_RpoD_mono,mRNA
transcription_TU00107_from_RpoD_mono,mRNA
transcription_TU0_36414_from_RPOS_MONOMER,mRNA
transcription_TU0_14336_from_RpoD_mono,mRNA
transcription_TU00309_from_RpoD_mono,mRNA
transcription_TU0_13799_from_RpoD_mono,mRNA
transcription_TU0_13722_from_RpoD_mono,mRNA
transcription_TU0_8773_from_RpoD_mono,mRNA
transcription_TU0_5522_from_RpoD_mono,mRNA
transcription_TU0_14276_from_EG11355_MONOMER,mRNA
transcription_TU0_13421_from_RpoD_mono,mRNA
transcription_TU0_13495_from_RpoD_mono,mRNA
transcription_TU00384_with_TERM65_from_RpoD_mono,mRNA
transcription_TU0_8855_with_PHEM_T3_from_RpoD_mono,mRNA
transcription_TU0_13660_from_RpoD_mono,mRNA
transcription_TU0_6630_from_RpoD_mono,mRNA
transcription_TU0_1161_from_RPOS_MONOMER,mRNA
transcription_TU00038_with_TERM0242_from_RpoD_mono,mRNA
transcription_TU503_from_RPOS_MONOMER,mRNA
transcription_TU0_12838_from_RpoD_mono,mRNA
transcription_TU0_36417_from_RpoD_mono,mRNA
transcription_TU00194_from_RpoD_mono,mRNA
transcription_TU00258_from_RpoD_mono,mRNA
transcription_TU00108_from_RpoD_mono,mRNA
transcription_TU0_14518_from_RpoD_mono,mRNA
transcription_TU0_8486_from_RpoD_mono,mRNA
transcription_TU0_7901_from_RpoD_mono,mRNA
transcription_TU0_14068_from_RpoD_mono,mRNA
transcription_TU00310_with_TERM52_from_RpoD_mono,mRNA
transcription_TU0_6631_from_RpoD_mono,mRNA
transcription_TU0_36418_from_RPOS_MONOMER,mRNA
transcription_TU0_36418_from_RpoD_mono,mRNA
transcription_TU0_8774_from_RpoD_mono,mRNA
transcription_TU0_8774_from_RPOH_MONOMER,mRNA
transcription_TU0_12962_from_RpoD_mono,mRNA
transcription_TU00385_from_RpoD_mono,mRNA
transcription_TU00039_from_RpoD_mono,mRNA
transcription_TU0_5543_from_RpoD_mono,mRNA
transcription_TU521_from_RpoD_mono,mRNA
transcription_TU0_13182_from_RpoD_mono,mRNA
transcription_TU841_from_RpoD_mono,mRNA
transcription_TU00195_from_RpoD_mono,mRNA
transcription_TU00517_from_RpoD_mono,mRNA
